# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "ref_genome/Staphylococcus_aureus_ref.gtf" "-o" "counts/gene_counts.txt" "-T" "4" "-p" "--countReadPairs" "-B" "-C" "alignments/control_1.sorted.bam" "alignments/control_2.sorted.bam" "alignments/control_3.sorted.bam" "alignments/treatment_1.sorted.bam" "alignments/treatment_2.sorted.bam" "alignments/treatment_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/control_1.sorted.bam	alignments/control_2.sorted.bam	alignments/control_3.sorted.bam	alignments/treatment_1.sorted.bam	alignments/treatment_2.sorted.bam	alignments/treatment_3.sorted.bam
SAOUHSC_T00018	NC_007795.1	24157	24231	+	75	0	0	0	0	0	1
SAOUHSC_T00011	NC_007795.1	24239	24311	+	73	0	0	0	0	0	0
SAOUHSC_T00048	NC_007795.1	439581	439673	+	93	40	40	41	110	125	125
SAOUHSC_R0001	NC_007795.1	448819	450374	+	1556	1068	1894	1295	578	694	716
SAOUHSC_R0006	NC_007795.1	450739	453661	+	2923	3594	7728	3816	1683	2059	2791
SAOUHSC_R00011	NC_007795.1	453734	453847	+	114	0	0	0	0	0	0
SAOUHSC_R00016	NC_007795.1	492125	492239	+	115	18	13	4	4	1	6
SAOUHSC_T00059	NC_007795.1	492252	492327	+	76	4	1	0	0	1	0
SAOUHSC_T00053	NC_007795.1	492344	492419	+	76	3	10	1	1	3	2
SAOUHSC_T00035	NC_007795.1	492426	492498	+	73	120	91	16	7	17	15
SAOUHSC_T00021	NC_007795.1	492532	492606	+	75	67	45	26	20	30	21
SAOUHSC_T00030	NC_007795.1	492614	492702	+	89	77	47	6	3	12	3
SAOUHSC_T0004	NC_007795.1	492708	492784	+	77	213	155	69	46	57	72
SAOUHSC_T00044	NC_007795.1	492805	492878	+	74	49	29	9	5	15	2
SAOUHSC_T0001	NC_007795.1	492902	492977	+	76	1020	1342	262	152	287	240
SAOUHSC_R0002	NC_007795.1	493099	494653	+	1555	1467	2747	1723	812	871	1052
SAOUHSC_R0007	NC_007795.1	495018	497940	+	2923	3534	7696	3809	1676	1947	2784
SAOUHSC_R00012	NC_007795.1	498013	498127	+	115	3	2	2	0	1	0
SAOUHSC_T0005	NC_007795.1	772155	772226	-	72	151	167	177	176	163	136
SAOUHSC_T00049	NC_007795.1	938623	938711	-	89	0	0	0	0	0	1
SAOUHSC_T0008	NC_007795.1	938714	938788	-	75	1	0	1	0	0	3
SAOUHSC_T0006	NC_007795.1	1088006	1088079	-	74	12	14	4	11	6	18
SAOUHSC_T00050	NC_007795.1	1864312	1864400	-	89	6	3	0	4	1	5
SAOUHSC_T00019	NC_007795.1	1864455	1864526	-	72	2	1	1	1	0	0
SAOUHSC_T0009	NC_007795.1	1864528	1864602	-	75	20	25	1	6	10	5
SAOUHSC_T00022	NC_007795.1	1864617	1864690	-	74	13	18	0	4	11	1
SAOUHSC_T00026	NC_007795.1	1864706	1864781	-	76	102	82	31	55	71	69
SAOUHSC_T00042	NC_007795.1	1864795	1864867	-	73	43	32	13	9	34	15
SAOUHSC_T00012	NC_007795.1	1864884	1864959	-	76	0	1	0	0	0	0
SAOUHSC_T00038	NC_007795.1	1864981	1865054	-	74	12	6	6	3	4	5
SAOUHSC_T00031	NC_007795.1	1898905	1898988	-	84	2	0	0	2	1	0
SAOUHSC_T00046	NC_007795.1	1899027	1899101	-	75	18	13	6	2	1	6
SAOUHSC_T00047	NC_007795.1	1899115	1899189	-	75	51	33	26	21	23	29
SAOUHSC_T00023	NC_007795.1	1899205	1899279	-	75	47	62	37	23	43	34
SAOUHSC_T00015	NC_007795.1	1899287	1899360	-	74	31	33	12	9	18	11
SAOUHSC_T00016	NC_007795.1	1899366	1899437	-	72	168	142	44	17	55	28
SAOUHSC_T00027	NC_007795.1	1899449	1899521	-	73	117	96	13	15	34	15
SAOUHSC_T00056	NC_007795.1	1899524	1899597	-	74	151	128	29	23	40	20
SAOUHSC_T00057	NC_007795.1	1899613	1899693	-	81	476	479	242	149	160	109
SAOUHSC_T00054	NC_007795.1	1899699	1899774	-	76	67	53	20	13	31	21
SAOUHSC_T00043	NC_007795.1	1899782	1899854	-	73	270	317	113	106	109	98
SAOUHSC_T00013	NC_007795.1	1899873	1899948	-	76	114	101	25	28	57	26
SAOUHSC_T00039	NC_007795.1	1899958	1900031	-	74	168	182	41	70	70	60
SAOUHSC_T00051	NC_007795.1	1900046	1900138	-	93	132	197	36	43	81	47
SAOUHSC_T00014	NC_007795.1	1900177	1900252	-	76	222	192	72	57	82	76
SAOUHSC_T00052	NC_007795.1	1900263	1900352	-	90	50	45	4	4	14	9
SAOUHSC_T00040	NC_007795.1	1900362	1900435	-	74	211	224	62	30	42	35
SAOUHSC_T00041	NC_007795.1	1900461	1900537	-	77	391	376	60	53	121	65
SAOUHSC_T0002	NC_007795.1	1900559	1900634	-	76	111	125	31	19	40	21
SAOUHSC_T00045	NC_007795.1	1900652	1900725	-	74	67	91	33	21	25	18
SAOUHSC_T0007	NC_007795.1	1900735	1900808	-	74	216	183	58	16	51	26
SAOUHSC_T00032	NC_007795.1	1900827	1900915	-	89	179	153	29	16	58	12
SAOUHSC_T00024	NC_007795.1	1900926	1901000	-	75	76	51	17	3	4	8
SAOUHSC_T00033	NC_007795.1	1901004	1901085	-	82	295	278	104	30	53	49
SAOUHSC_T00036	NC_007795.1	1901089	1901164	-	76	131	96	10	8	19	6
SAOUHSC_T00055	NC_007795.1	1901170	1901245	-	76	1	0	0	1	0	0
SAOUHSC_T00060	NC_007795.1	1901262	1901337	-	76	0	0	0	0	0	0
SAOUHSC_R00013	NC_007795.1	1901349	1901463	-	115	0	0	1	0	0	0
SAOUHSC_R0008	NC_007795.1	1901536	1904457	-	2922	3298	7391	3719	1535	1882	2647
SAOUHSC_T0003	NC_007795.1	1904671	1904746	-	76	615	728	131	168	337	255
SAOUHSC_T00028	NC_007795.1	1904765	1904841	-	77	21	10	7	5	5	3
SAOUHSC_R0003	NC_007795.1	1904931	1906485	-	1555	1400	2583	1802	790	866	969
SAOUHSC_R00014	NC_007795.1	2122744	2122858	-	115	0	1	1	0	1	1
SAOUHSC_R0009	NC_007795.1	2122931	2125853	-	2923	4170	9379	4512	1999	2329	3257
SAOUHSC_R0004	NC_007795.1	2126400	2127954	-	1555	1421	2544	1681	801	880	961
SAOUHSC_T00025	NC_007795.1	2128072	2128145	-	74	263	296	20	19	82	15
SAOUHSC_T00034	NC_007795.1	2128165	2128250	-	86	33	51	24	31	53	65
SAOUHSC_T00037	NC_007795.1	2238714	2238789	-	76	12	8	6	4	5	17
SAOUHSC_T00017	NC_007795.1	2238793	2238867	-	75	16	9	3	3	3	6
SAOUHSC_T00058	NC_007795.1	2238877	2238960	-	84	61	66	24	17	38	14
SAOUHSC_T00061	NC_007795.1	2238990	2239065	-	76	18	18	5	3	6	10
SAOUHSC_T00020	NC_007795.1	2239073	2239144	-	72	19	16	1	6	4	2
